SigUFPrincipal;SigTipoGeracao;DscOrigemCombustivel;DscFonteCombustivel;NomFonteCombustivel;MdaGarantiaFisicaKw;DscTipoOutorga
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
RS;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;45200.0;Concessão
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;UTE;Fóssil;Carvão Mineral;Gás de Alto Forno - CM;0.0;Autorização
TO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6800.0;Autorização
TO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6800.0;Concessão
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;694500.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;172900.0;Concessão
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
ES;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1160.0;Concessão
RO;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;20000.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;720.0;Concessão
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1730.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RO;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
RR;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;19580.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1510.0;Concessão
SP;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;8100.0;Concessão
AM;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
RJ;UTN;Nuclear;Urânio;Urânio;509800.0;Autorização
RJ;UTN;Nuclear;Urânio;Urânio;1204700.0;Autorização
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1100.0;Registro
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1180.0;Autorização
AM;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;590.0;Registro
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6710.0;Concessão
ES;UTE;Biomassa;Floresta;Licor Negro;0.0;Autorização
RJ;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9000.0;Concessão
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3720.0;Autorização
AM;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
CE;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
AM;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
BA;UTE;Biomassa;Floresta;Licor Negro;300.0;Autorização
TO;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;150.0;Registro
BA;UTE;Biomassa;Floresta;Licor Negro;0.0;Autorização
AM;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;125700.0;Concessão
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;59600.0;Concessão
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;46700.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;22000.0;Concessão
MT;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;3500.0;Autorização
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Biomassa;Agroindustriais;Bagaço de Cana de Açúcar;0.0;Autorização
MA;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
ES;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2520.0;Autorização
SC;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PI;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;135900.0;Concessão
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6660.0;Autorização
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;130.0;Registro
RO;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
MG;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;13480.0;Autorização
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;410.0;Registro
SC;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;8800.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9010.0;Concessão
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
RS;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9900.0;Concessão
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;8590.0;Autorização
SP;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
AM;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;3580.0;Registro
RO;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Concessão
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;70.0;Registro
ES;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;10440.0;Concessão
AL;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
ES;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;140.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
GO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;374600.0;Concessão
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;32500.0;Concessão
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;2690.0;Concessão
BA;UTE;Fóssil;Gás Natural;Gás Natural;0.0;Autorização
MT;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;1600.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;21600.0;Concessão
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
PB;UTE;Fóssil;Petróleo;Óleo Combustível;0.0;Autorização
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
GO;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;247800.0;Concessão
RS;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;24400.0;Concessão
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Registro
PR;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;62100.0;Concessão
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;23410.0;Autorização
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;51500.0;Concessão
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;328600.0;Concessão
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;9050.0;Autorização
RR;UTE;Fóssil;Petróleo;Óleo Diesel;0.0;Autorização
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
MT;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7730.0;Concessão
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;420.0;Registro
RS;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;520.0;Registro
RS;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;59800.0;Concessão
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;4480.0;Autorização
PR;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;960.0;Concessão
RS;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Autorização
SC;UHE;Hídrica;Potencial Hidráulico;Potencial Hidráulico;6750.0;Concessão
MG;CGH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;0.0;Registro
SP;UTE;Fóssil;Petróleo;Óleo Combustível;0.0;Autorização
SC;PCH;Hídrica;Potencial Hidráulico;Potencial Hidráulico;7520.0;Concessão
SC;UTE;Biomassa;Floresta;Licor Negro;0.0;Registro
